correctness,responseTime,answerChanges,quizLevel,faceExpression,label
1,8,0,1,happy,strong_understanding
1,10,0,1,neutral,strong_understanding
1,6,0,1,happy,strong_understanding
1,12,1,1,neutral,strong_understanding
1,9,0,2,happy,strong_understanding
1,11,0,2,neutral,strong_understanding
1,7,0,2,happy,strong_understanding
1,15,1,2,neutral,partial_understanding
1,14,1,3,neutral,partial_understanding
1,18,2,3,neutral,partial_understanding
1,20,1,3,confused,partial_understanding
1,22,2,2,confused,partial_understanding
1,25,2,1,confused,partial_understanding
0,30,3,1,confused,needs_hint
0,35,3,2,confused,needs_hint
0,28,4,1,frustrated,needs_hint
0,40,3,2,frustrated,needs_hint
0,45,5,3,frustrated,needs_hint
0,38,4,3,confused,needs_hint
0,32,3,1,frustrated,needs_hint
0,20,1,1,neutral,weak_understanding
0,18,1,2,neutral,weak_understanding
0,15,0,1,neutral,weak_understanding
0,22,2,2,neutral,weak_understanding
0,25,1,3,neutral,weak_understanding
0,19,1,3,neutral,weak_understanding
0,16,0,2,surprised,weak_understanding
0,17,1,1,surprised,weak_understanding
1,30,3,1,confused,partial_understanding
1,35,4,2,confused,partial_understanding
1,28,2,3,frustrated,partial_understanding
1,40,3,3,frustrated,partial_understanding
0,12,0,1,happy,weak_understanding
0,14,0,2,happy,weak_understanding
0,10,0,3,neutral,weak_understanding
1,5,0,1,happy,strong_understanding
1,7,0,2,happy,strong_understanding
1,6,0,3,happy,strong_understanding
0,50,6,3,frustrated,needs_hint
0,48,5,2,frustrated,needs_hint
0,42,4,1,confused,needs_hint
1,13,1,1,neutral,partial_understanding
1,16,1,2,neutral,partial_understanding
1,21,2,3,neutral,partial_understanding
0,27,2,1,neutral,weak_understanding
0,24,1,2,neutral,weak_understanding
0,29,2,3,surprised,weak_understanding
1,8,0,1,neutral,strong_understanding
1,9,0,3,happy,strong_understanding
0,36,4,2,confused,needs_hint
0,33,3,3,frustrated,needs_hint
1,17,2,2,confused,partial_understanding
1,19,2,3,confused,partial_understanding
0,11,0,1,neutral,weak_understanding
1,4,0,1,happy,strong_understanding
1,3,0,2,happy,strong_understanding
0,60,7,3,frustrated,needs_hint
0,55,6,2,frustrated,needs_hint
1,23,2,1,neutral,partial_understanding
0,26,2,2,neutral,weak_understanding
1,14,0,3,happy,strong_understanding
1,13,0,3,neutral,strong_understanding
1,16,1,3,happy,strong_understanding
1,10,0,3,neutral,strong_understanding
1,12,0,3,happy,strong_understanding
1,6,1,1,neutral,strong_understanding
1,11,0,2,happy,strong_understanding
1,9,0,1,neutral,strong_understanding
1,7,0,2,happy,strong_understanding
1,5,0,3,happy,strong_understanding
1,10,1,1,happy,strong_understanding
1,8,1,2,neutral,strong_understanding
1,7,0,3,happy,strong_understanding
1,13,0,2,happy,strong_understanding
1,11,1,1,neutral,strong_understanding
1,9,1,2,happy,strong_understanding
1,4,0,3,happy,strong_understanding
1,25,3,1,confused,partial_understanding
1,30,2,2,neutral,partial_understanding
1,28,3,3,confused,partial_understanding
1,22,2,1,neutral,partial_understanding
1,26,2,2,confused,partial_understanding
1,32,3,3,neutral,partial_understanding
1,20,2,1,confused,partial_understanding
1,18,2,2,neutral,partial_understanding
1,24,3,3,confused,partial_understanding
1,23,1,3,neutral,partial_understanding
1,27,2,3,frustrated,partial_understanding
1,30,3,2,frustrated,partial_understanding
1,21,2,1,frustrated,partial_understanding
1,19,1,2,confused,partial_understanding
1,33,4,3,confused,partial_understanding
1,16,2,1,confused,partial_understanding
1,17,2,2,confused,partial_understanding
1,29,3,3,neutral,partial_understanding
1,34,4,2,frustrated,partial_understanding
1,31,3,1,confused,partial_understanding
1,26,3,2,confused,partial_understanding
1,35,5,3,confused,partial_understanding
0,13,1,1,neutral,weak_understanding
0,16,0,2,neutral,weak_understanding
0,14,1,3,surprised,weak_understanding
0,11,0,1,happy,weak_understanding
0,8,0,2,neutral,weak_understanding
0,9,0,3,neutral,weak_understanding
0,10,1,1,neutral,weak_understanding
0,12,0,2,neutral,weak_understanding
0,7,0,1,happy,weak_understanding
0,15,0,3,neutral,weak_understanding
0,21,2,1,neutral,weak_understanding
0,23,2,3,neutral,weak_understanding
0,18,2,1,surprised,weak_understanding
0,13,0,3,happy,weak_understanding
0,19,2,2,neutral,weak_understanding
0,6,0,1,happy,weak_understanding
0,22,2,3,neutral,weak_understanding
0,24,2,2,surprised,weak_understanding
0,9,1,3,neutral,weak_understanding
0,11,1,2,happy,weak_understanding
0,17,1,1,surprised,weak_understanding
0,20,1,2,neutral,weak_understanding
0,37,4,1,confused,needs_hint
0,44,5,2,frustrated,needs_hint
0,52,6,1,confused,needs_hint
0,65,8,3,frustrated,needs_hint
0,39,4,2,frustrated,needs_hint
0,46,5,3,confused,needs_hint
0,34,4,1,frustrated,needs_hint
0,43,5,2,confused,needs_hint
0,57,7,3,frustrated,needs_hint
0,31,3,2,confused,needs_hint
0,36,4,3,frustrated,needs_hint
0,41,5,1,confused,needs_hint
0,48,5,3,confused,needs_hint
0,53,6,2,frustrated,needs_hint
0,29,3,1,confused,needs_hint
0,33,4,2,frustrated,needs_hint
0,61,7,3,frustrated,needs_hint
0,38,4,1,confused,needs_hint
0,47,5,2,frustrated,needs_hint
